"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"

"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-01","5.1","8.9","58.0","25.0",,"1.7","-5.0","    1","    1",,,,,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-02","5.6","0.0","5.0","76.0",,"-5.0","-10.6","    1",,,,,,,,,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-03","3.7","0.0","8.0","76.0",,"-5.0","-14.4","    1",,,,,,,,,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-04","7.5","0.0","0.0","51.0",,"-1.1","-8.3",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-05","5.6","0.8","0.0","51.0",,"3.9","-3.9","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-06","5.5","0.3","0.0","0.0",,"11.1","2.8","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-07","6.8","0.8","0.0","0.0",,"17.2","11.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-08","6.8","1.3","0.0","0.0",,"18.9","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-09","10.9","2.0","0.0","0.0",,"17.8","1.7","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-10","3.8","3.3","0.0","0.0",,"5.0","-1.1","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-11","8.8","10.7","0.0","0.0",,"8.9","1.7","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-12","4.9","0.0","0.0","0.0",,"3.3","-1.1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-13","3.7","0.8","0.0","0.0",,"4.4","-2.2","    1",,,,,,,,,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-14","5.2","7.1","51.0","0.0",,"2.8","-1.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-15","4.6","1.5","15.0","76.0",,"0.6","-2.2","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-16","3.6","0.0","0.0","51.0",,"-0.6","-4.4",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-17","3.9","0.3","0.0","25.0",,"2.8","-4.4",,,,,,,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-18","10.4","2.3","0.0","0.0",,"2.8","-3.9","    1",,,,,,,,"    1",,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-19","6.9","6.6","71.0","0.0",,"-2.8","-11.7","    1","    1",,,,,,,,,,,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-20","7.7","0.0","0.0","51.0",,"-10.0","-15.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-21","6.1","2.5","76.0","25.0",,"-6.1","-13.3","    1","    1",,,,,,,,,"    1",,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-22","7.2","4.1","53.0","51.0",,"0.0","-11.7","    1",,,,,,,"    1","    1",,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-23","6.0","0.5","15.0","76.0",,"-5.6","-8.9","    1",,,,,,,,"    1",,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-24","3.4","1.3","28.0","102.0",,"-5.6","-10.0","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-25","8.6","0.0","0.0","76.0",,"-4.4","-10.6",,,,,,,,"    1",,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-26","2.4","0.8","25.0","51.0",,"-3.3","-7.8","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-27","1.3","0.3","10.0","51.0",,"1.1","-6.7","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-28","2.8","0.0","0.0","25.0",,"2.2","-1.7","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-29","5.9","0.8","0.0","0.0",,"10.0","0.0","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-30","14.3","4.6","28.0","0.0",,"11.7","-8.3","    1","    1",,,,,,,"    1",,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-01-31","4.4","0.0","0.0","0.0",,"-3.9","-10.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-01","5.1","23.4","41.0","0.0",,"0.6","-3.9","    1",,,"    1",,"    1",,,,,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-02","6.4","0.5","5.0","51.0",,"0.6","-1.1","    1",,,,,"    1",,,,,"    1","    1","    1","    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-03","2.5","0.0","0.0","51.0",,"1.1","-1.1","    1",,,,,"    1",,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-04","4.4","1.0","0.0","51.0",,"5.6","-0.6","    1",,"    1",,,,,"    1",,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-05","4.1","19.6","0.0","0.0",,"10.6","0.6","    1","    1","    1",,,,,,,,,"    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-06","6.6","28.4","25.0","0.0",,"0.6","-1.7","    1",,,"    1",,"    1",,,,,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-07","4.5","2.3","23.0","25.0",,"1.1","-5.6","    1",,,,,"    1",,,,,"    1",,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-08","2.5","0.8","13.0","51.0",,"0.0","-3.3","    1",,,,,"    1",,,,,"    1",,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-09","5.6","2.8","8.0","25.0",,"2.8","-1.7","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-10","10.2","2.5","51.0","51.0",,"0.0","-16.7","    1",,,,,,,"    1","    1",,,,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-11","7.3","0.0","0.0","51.0",,"-8.9","-16.7",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-12","4.7","6.1","33.0","25.0",,"-0.6","-15.0","    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-13","4.7","2.8","5.0","51.0",,"1.7","-7.8","    1",,,"    1",,"    1",,"    1",,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-14","5.9","0.0","0.0","51.0",,"0.0","-8.3",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-15","6.7","0.5","18.0","51.0",,"1.1","-8.3","    1",,,,,,,,,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-16","3.4","0.0","0.0","51.0",,"-4.4","-12.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-17","6.7","3.8","0.0","51.0",,"10.6","-7.8","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-18","10.6","4.6","0.0","0.0",,"10.6","-2.2","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-19","10.0","4.3","84.0","0.0",,"-2.2","-8.3","    1",,,,,,,,"    1",,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-20","5.5","1.3","25.0","102.0",,"-6.7","-11.7","    1",,,,,,,,"    1",,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-21","3.7","0.0","0.0","51.0",,"-6.1","-12.2",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-22","2.2","3.8","38.0","51.0",,"-1.1","-7.2","    1",,,,,,,,,,"    1",,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-23","3.2","0.0","0.0","51.0",,"-1.1","-8.9",,,,,,,,,,,,,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-24","5.5","0.0","0.0","51.0",,"-1.1","-9.4","    1",,,,,,,,,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-25","5.9","0.0","0.0","25.0",,"-0.6","-4.4","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-26","4.4","9.9","112.0","51.0",,"0.0","-2.8","    1",,,,,,,"    1",,,"    1",,,,,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-27","5.8","0.8","10.0","127.0",,"-2.8","-13.9","    1",,,,,,,,,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-28","3.6","0.0","15.0","127.0",,"-10.0","-16.1","    1",,,,,,,"    1",,,"    1",,,,,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-02-29","5.4","3.6","66.0","102.0",,"0.6","-15.6","    1",,,,,,,,,,"    1",,,"    1",,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-01","6.7","1.0","8.0","127.0",,"1.1","-3.9","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-02","2.8","0.0","0.0","127.0",,"3.3","-5.6",,,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-03","6.8","4.6","0.0","102.0",,"17.2","2.2","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-04","6.0","11.2","10.0","0.0",,"2.2","-3.3","    1",,"    1","    1",,,,,,,,,,"    1","    1","    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-05","6.0","9.9","43.0","51.0",,"-1.1","-4.4","    1","    1",,"    1","    1",,,"    1","    1",,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-06","4.7","0.0","0.0","51.0",,"2.8","-3.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-07","3.6","17.5","208.0","25.0",,"0.6","-2.8","    1","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-08","7.3","17.8","333.0","203.0",,"-2.2","-7.8","    1","    1",,"    1",,,,"    1","    1",,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-09","7.7","0.3","8.0","356.0",,"-5.0","-9.4","    1",,,,,"    1",,"    1","    1",,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-10","2.5","0.0","0.0","229.0",,"-0.6","-8.9","    1",,,,,"    1",,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-11","5.0","0.0","0.0","203.0",,"0.6","-6.7",,"    1",,,,,"    1","    1","    1",,,,,"    1",,"    1",,"    1"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-12","5.5","2.0","38.0","203.0",,"1.7","-5.6","    1",,,,,,"    1","    1","    1",,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-13","5.0","0.0","0.0","178.0",,"7.8","-7.2","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-14","2.9","0.0","0.0","127.0",,"9.4","-0.6","    1",,,,,,"    1","    1",,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-15","4.1","0.0","0.0","76.0",,"3.3","-0.6","    1","    1",,,,,,"    1","    1",,"    1","    1",,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-16","4.4","0.5","3.0","51.0",,"1.1","-4.4","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-17","3.6","0.0","0.0","51.0",,"2.2","-7.8",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-18","4.4","0.3","0.0","51.0",,"6.7","-0.6","    1",,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-19","3.4","16.5","20.0","25.0",,"6.7","0.6","    1","    1",,,"    1",,,,"    1",,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-20","6.8","1.3","8.0","25.0",,"1.7","-1.7","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-21","5.0","0.0","0.0","25.0",,"0.6","-3.9",,,,,,,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-22","3.4","0.0","0.0","0.0",,"0.6","-5.6",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-23","2.8","0.0","0.0","0.0",,"1.1","-7.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-24","3.4","0.0","8.0","0.0",,"0.6","-5.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-25","6.4","7.6","0.0","0.0",,"5.6","-7.8","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-26","6.3","0.0","0.0","0.0",,"5.0","-1.1",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-27","3.2","5.8","23.0","0.0",,"7.2","-1.1","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-28","3.7","4.6","30.0","51.0",,"2.2","-2.8","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
