"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-01","14.99"," 0741"," 0203","0.04","   39","0.3","5",,"34","25","  263","  260","  250","0.0","25.9","32.0","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-02","6.26"," 2323"," 2322","0.00","   64","0.0","5",,"38","22","  434","  140","  150","0.0","10.1","12.1",,,,,"    1",,,,,,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-03","15.21"," 1601"," 1600","0.18","   65","0.0","4",,"63","36","  440","  200","  200","0.0","33.1","38.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-04","13.42"," 1943"," 2319","0.44","    0","0.4","0",,"36","26","    0","   70","   50","0.0","25.9","31.1","    1",,"    1","    1",,,,,,,,,,"    1","    1","    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-05","13.42"," 1708"," 1707","0.39","   30","1.7","2",,"30","24","  205","  230","  230","0.0","23.9","30.0","    1","    1",,"    1","    1",,,"    1","    1",,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-06","10.51"," 1248"," 1108","0.00","   61","0.0","2",,"37","25","  416","  210","  230","0.0","21.0","28.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-07","8.05"," 2312"," 2315","0.69","    6","8.2","1",,"33","27","   41","  360","  360","0.0","16.1","19.9","    1","    1",,,,,,,"    1",,,"    1",,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-08","16.33"," 1227"," 1524","0.70","    0","13.1","8",,"28","18","    0","   40","   50","0.0","28.0","33.1","    1","    1",,"    1",,,,"    1","    1",,,,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-09","17.22"," 1336"," 1307","0.01","   96","0.3","14",,"23","15","  665","  240","  240","0.0","31.1","38.9","    1",,,,,"    1",,"    1","    1",,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-10","5.59"," 1416"," 1415","0.00","   69","0.0","9",,"31","16","  485","  250","  220","0.0","13.0","16.1","    1",,,,,"    1",,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-03-11","11.18"," 1351"," 1345","0.00","   54","0.0","8",,"33","20","  381","  230","  220","0.0","23.9","31.1",,"    1",,,,,"    1","    1","    1",,,,,"    1",,"    1",,"    1"
